,playerName,Pos,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,dummy,SOS,NBAGP,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS
64,T.J. Leaf,PF,UCLA,,35,35,29.9,6.7,10.9,.617,5.9,9.2,.644,0.8,1.7,.466,2.1,3.0,.679,2.2,6.0,8.2,2.4,0.6,1.1,1.5,2.5,16.3,,6.39,53,1.5,0.2,0.1,0.1,2.9
65,John Collins,PF,Wake Forest,,64,34,20.7,4.9,8.2,.601,4.9,8.2,.602,0.0,0.0,.000,3.6,4.9,.729,2.8,4.2,7.0,0.4,0.5,1.2,1.4,2.8,13.4,,10.16,74,7.3,1.3,0.6,1.1,10.5
66,Harry Giles,PF,Duke,,26,6,11.5,1.7,3.0,.577,1.7,3.0,.577,0.0,0.0,,0.5,0.9,.500,1.6,2.3,3.8,0.3,0.3,0.7,0.7,2.2,3.9,,10.91,58,3.8,1.5,0.5,0.4,7.0
67,Jarrett Allen,C,Texas,,33,33,32.2,5.4,9.6,.566,5.4,9.4,.579,0.0,0.2,.000,2.5,4.5,.564,3.0,5.4,8.4,0.8,0.6,1.5,2.5,2.1,13.4,,12.75,72,5.4,0.7,0.4,1.2,8.2
68,OG Anunoby,SF,Indiana,,50,10,17.4,2.7,4.8,.563,2.1,3.3,.652,0.5,1.5,.365,0.9,1.8,.522,1.4,2.1,3.5,0.8,1.0,0.9,1.1,1.7,6.8,,7.53,74,2.5,0.7,0.7,0.2,5.9
69,Tyler Lydon,PF,Syracuse,,71,34,33.1,3.9,8.2,.476,2.5,4.8,.531,1.4,3.5,.400,2.4,2.9,.809,2.0,5.4,7.4,1.6,1.1,1.6,1.5,2.6,11.6,,9.11,1,0.0,0.0,0.0,0.0,0.0
70,Caleb Swanigan,PF,Purdue,,69,69,29.2,5.1,10.2,.501,4.2,7.9,.537,0.9,2.3,.376,3.3,4.4,.760,2.2,8.2,10.4,2.4,0.4,0.5,3.0,2.5,14.4,,8.12,27,2.0,0.5,0.2,0.1,2.3
71,Kyle Kuzma,PF,Utah,,96,64,21.0,3.9,7.7,.506,3.3,5.9,.567,0.5,1.8,.302,1.8,2.8,.633,1.6,3.9,5.5,1.5,0.3,0.4,1.6,1.6,10.1,,6.84,77,6.3,1.8,0.6,0.4,16.1
72,Tony Bradley,C,UNC,,38,0,14.6,2.7,4.7,.573,2.7,4.7,.573,0.0,0.0,,1.7,2.8,.619,2.6,2.6,5.1,0.6,0.3,0.6,0.7,1.8,7.1,,11.76,9,1.2,0.1,0.0,0.0,0.9
73,Derrick White,PG,Colorado,,34,32,32.8,6.0,11.9,.507,4.4,7.6,.569,1.7,4.2,.396,4.4,5.4,.813,1.0,3.1,4.1,4.4,1.2,1.4,2.4,2.1,18.1,,6.00,17,1.5,0.5,0.2,0.2,3.2
