,playerName,Pos,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,dummy,SOS,NBAGP,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS
299,Will Barton,SG,Memphis,,70,59,32.9,5.7,12.0,.471,4.6,8.4,.546,1.1,3.6,.299,2.7,3.7,.733,1.7,4.8,6.5,2.9,1.5,0.6,2.3,2.2,15.2,,4.20,73,2.0,0.8,0.5,0.1,4.0
300,Tyshawn Taylor,PG,Kansas,,146,126,27.7,3.8,7.9,.477,3.0,5.7,.518,0.8,2.2,.370,2.5,3.5,.708,0.3,1.9,2.2,3.9,1.2,0.2,2.6,2.1,10.8,,8.42,38,0.5,0.6,0.3,0.0,2.2
301,Doron Lamb,SG,Kentucky,,78,49,29.8,4.3,8.9,.485,2.5,5.0,.492,1.8,3.9,.475,2.6,3.2,.811,0.4,1.9,2.3,1.6,0.5,0.1,1.2,2.0,13.1,,8.42,47,1.0,0.7,0.3,0.0,3.3
302,Mike Scott,PF,Virginia,,130,106,26.6,4.5,8.6,.521,4.4,8.3,.528,0.1,0.3,.364,2.7,3.5,.775,2.6,4.7,7.3,1.0,0.7,0.4,1.6,2.0,11.8,,6.34,40,2.8,0.3,0.1,0.1,4.6
303,Kim English,SG,Missouri,,141,106,24.2,3.7,8.7,.420,2.0,4.4,.444,1.7,4.3,.394,2.1,2.9,.727,0.7,2.4,3.0,1.4,1.1,0.2,1.7,1.8,11.1,,6.32,41,0.9,0.6,0.4,0.1,2.9
304,Justin Hamilton,C,LSU,,33,32,30.0,4.8,9.7,.494,4.7,9.3,.503,0.1,0.4,.250,3.2,4.2,.781,3.3,3.9,7.2,0.9,0.8,1.3,1.7,2.5,12.9,,,8,0.9,0.0,0.6,0.0,3.3
305,Darius Miller,SF,Kentucky,,152,82,24.9,2.9,6.5,.448,1.8,3.5,.509,1.2,3.0,.379,1.2,1.5,.815,1.0,2.2,3.2,1.8,0.8,0.7,1.4,2.3,8.2,,7.12,52,1.5,0.8,0.3,0.2,2.3
306,Kevin Murphy,SG,Tennessee Tech,,128,109,29.0,5.5,12.5,.443,4.0,8.4,.476,1.5,4.0,.372,3.3,4.4,.734,0.8,3.3,4.2,1.9,0.8,0.2,3.0,2.1,15.8,,-4.01,17,0.2,0.1,0.1,0.0,0.9
307,Kyle O'Quinn,C,Norfolk State,,129,98,27.5,4.7,8.6,.553,4.3,7.0,.620,0.4,1.6,.261,2.6,3.8,.685,2.6,5.9,8.5,0.9,0.5,2.2,2.0,2.9,12.5,,-7.19,57,3.7,0.9,0.2,0.5,4.1
308,Kris Joseph,SF,Syracuse,,140,77,26.6,3.5,7.8,.449,2.7,5.4,.501,0.8,2.4,.331,2.7,3.9,.702,1.3,3.2,4.5,1.5,1.3,0.5,1.6,1.6,10.5,,8.37,10,0.7,0.1,0.3,0.0,0.9
309,Darius Johnson-Odom,SG,Marquette,,105,90,30.8,5.3,12.0,.444,3.2,6.7,.476,2.1,5.2,.403,3.0,4.1,.722,0.5,2.5,3.1,2.5,0.9,0.2,2.1,2.3,15.7,,8.08,4,1.0,0.3,0.0,0.0,0.0
310,Robbie Hummel,SF,Purdue,,127,120,30.2,4.6,10.4,.443,2.9,6.0,.483,1.7,4.4,.389,3.1,3.7,.841,1.9,4.9,6.8,2.1,1.0,0.9,1.1,2.4,14.0,,7.48,53,2.5,0.4,0.3,0.0,3.4
311,Robert Sacre,C,Gonzaga,,136,111,21.7,3.0,6.0,.504,3.0,5.9,.505,0.0,0.0,.250,3.3,4.5,.735,1.8,3.2,5.0,0.7,0.5,1.4,1.6,2.3,9.3,,3.36,32,1.1,0.2,0.0,0.3,1.3
312,Kyrie Irving,PG,Duke,,11,8,27.5,5.0,9.5,.529,3.4,5.9,.569,1.6,3.5,.462,5.8,6.5,.901,0.5,2.8,3.4,4.3,1.5,0.5,2.5,2.1,17.5,,8.32,51,3.7,5.4,1.1,0.4,18.5
313,Derrick Williams,PF,Arizona,,69,68,29.2,5.6,9.6,.586,5.0,8.3,.598,0.7,1.3,.511,5.9,8.2,.719,2.5,5.2,7.7,0.9,0.8,0.7,2.3,2.7,17.8,,8.05,66,4.7,0.6,0.5,0.5,8.8
314,Tristan Thompson,PF,Texas,,36,34,30.7,4.8,8.8,.546,4.8,8.8,.546,0.0,0.0,,3.5,7.3,.487,3.8,4.0,7.8,1.3,0.9,2.4,1.8,2.8,13.1,,7.96,60,6.5,0.5,0.5,1.0,8.2
315,Brandon Knight,PG,Kentucky,,38,38,35.9,5.7,13.5,.423,3.4,7.4,.461,2.3,6.1,.377,3.6,4.5,.795,0.7,3.4,4.0,4.2,0.7,0.2,3.2,2.2,17.3,,8.91,66,3.2,3.8,0.7,0.2,12.8
316,Kemba Walker,PG,UConn,,111,77,32.9,5.2,12.2,.428,4.1,8.7,.469,1.1,3.5,.326,4.5,5.8,.783,1.0,3.4,4.4,4.1,1.7,0.3,2.3,1.5,16.1,,9.39,66,3.5,4.4,0.9,0.3,12.1
317,Jimmer Fredette,PG,BYU,,139,102,29.6,6.0,13.3,.455,3.9,7.8,.497,2.1,5.4,.394,4.5,5.1,.882,0.5,2.1,2.6,3.7,1.2,0.1,2.5,1.2,18.7,,3.56,61,1.2,1.8,0.5,0.0,7.6
318,Klay Thompson,SG,Washington State,,98,96,34.4,6.1,14.4,.424,3.6,8.1,.450,2.5,6.3,.390,3.2,3.9,.827,0.9,3.9,4.8,2.6,1.3,0.8,2.9,2.5,17.9,,6.32,66,2.4,2.0,0.7,0.3,12.5
319,Alec Burks,SG,Colorado,,68,67,30.9,6.2,12.6,.495,5.5,10.4,.533,0.7,2.2,.313,5.9,7.3,.804,2.2,3.6,5.8,2.4,1.1,0.4,2.3,2.4,19.0,,6.65,59,2.2,0.9,0.5,0.1,7.2
320,Markieff Morris,PF,Kansas,,109,43,19.3,3.1,5.7,.553,2.8,4.8,.579,0.3,0.9,.404,1.9,2.9,.653,2.0,4.1,6.1,1.2,0.6,0.9,1.6,2.7,8.5,,7.92,63,4.4,1.0,0.7,0.7,7.4
321,Marcus Morris,PF,Kansas,,109,90,24.0,4.7,8.4,.555,4.3,7.3,.585,0.4,1.1,.358,2.9,4.3,.660,2.4,3.8,6.2,1.3,0.9,0.4,1.6,2.6,12.6,,7.92,17,0.9,0.2,0.1,0.1,2.4
322,Kawhi Leonard,SF,San Diego State,,70,69,31.9,5.4,12.0,.449,4.8,9.7,.497,0.6,2.3,.250,2.8,3.7,.744,3.3,6.9,10.2,2.2,1.4,0.6,2.2,2.5,14.1,,5.29,64,5.1,1.1,1.3,0.4,7.9
323,Nikola Vučević,C,USC,,87,67,27.7,4.2,8.3,.509,3.8,6.9,.551,0.4,1.4,.303,2.2,2.9,.746,2.4,5.5,8.0,1.1,0.5,1.1,1.5,2.4,11.1,,7.86,51,4.8,0.6,0.4,0.7,5.5
324,Iman Shumpert,PG,Georgia Tech,,92,91,31.3,4.2,10.6,.396,3.0,6.7,.450,1.2,4.0,.305,3.1,4.1,.738,1.1,3.4,4.5,4.2,2.3,0.2,3.0,2.7,12.7,,7.34,59,3.2,2.8,1.7,0.1,9.5
325,Chris Singleton,SF,Florida State,,95,91,29.1,3.5,8.4,.419,2.4,5.1,.476,1.1,3.3,.330,2.1,3.5,.592,2.0,4.2,6.2,1.5,1.9,1.4,2.4,3.1,10.3,,7.05,66,3.5,0.7,1.1,0.5,4.6
326,Tobias Harris,SF,Tennessee,,34,33,29.2,5.4,11.8,.460,4.8,9.6,.497,0.7,2.2,.303,3.8,5.0,.753,2.0,5.3,7.3,1.3,0.7,0.9,1.8,2.1,15.3,,8.73,42,2.4,0.5,0.3,0.2,5.0
327,Nolan Smith,PG,Duke,,143,97,26.9,4.7,10.4,.448,3.5,7.3,.482,1.2,3.2,.368,2.9,3.6,.800,0.8,2.0,2.8,2.8,1.0,0.1,2.0,1.9,13.4,,8.97,44,1.3,1.4,0.4,0.1,3.8
328,Kenneth Faried,PF,Morehead State,,136,122,29.1,5.8,10.1,.569,5.7,10.0,.572,0.0,0.1,.250,3.2,5.6,.583,4.4,7.9,12.3,0.9,1.7,1.8,2.2,3.1,14.8,,-4.03,46,7.7,0.8,0.7,1.0,10.2
329,Reggie Jackson,PG,Boston College,,99,52,28.0,4.6,9.9,.465,3.4,6.4,.527,1.2,3.5,.351,2.3,3.0,.753,1.4,3.0,4.4,3.5,0.8,0.5,2.1,1.7,12.7,,7.25,45,1.2,1.6,0.6,0.0,3.1
330,MarShon Brooks,SG,Providence,,113,56,25.3,5.2,11.2,.464,3.8,7.0,.543,1.4,4.2,.333,2.6,3.6,.739,1.6,2.7,4.3,1.5,1.1,0.7,1.8,2.0,14.4,,7.44,56,3.6,2.3,0.9,0.3,12.6
331,Jordan Hamilton,SF,Texas,,70,36,26.2,5.2,12.2,.430,3.1,6.6,.475,2.1,5.6,.377,1.9,2.7,.710,1.5,4.2,5.7,1.8,0.8,0.5,1.8,1.5,14.5,,7.67,26,2.4,0.8,0.2,0.1,4.4
332,JaJuan Johnson,PF,Purdue,,140,119,27.5,5.0,10.1,.501,4.9,9.6,.512,0.1,0.4,.250,3.5,4.7,.743,2.0,4.1,6.1,0.7,0.7,1.9,1.3,1.8,13.7,,7.64,36,1.6,0.2,0.1,0.4,3.2
333,Norris Cole,PG,Cleveland State,,140,106,29.4,4.8,11.1,.435,3.8,8.0,.480,1.0,3.1,.321,3.5,4.2,.826,0.6,2.5,3.2,3.3,1.5,0.1,2.0,2.2,14.1,,1.92,65,1.4,2.0,0.7,0.0,6.8
334,Cory Joseph,PG,Texas,,36,36,32.4,3.8,8.9,.422,2.3,5.4,.429,1.4,3.5,.413,1.4,2.0,.699,0.6,2.9,3.6,3.0,1.0,0.3,1.5,1.8,10.4,,7.96,29,0.9,1.2,0.2,0.1,2.0
335,Jimmy Butler,SG,Marquette,,106,69,29.6,3.7,7.2,.508,3.3,6.4,.525,0.3,0.9,.383,4.3,5.6,.773,2.3,3.1,5.5,1.7,1.1,0.5,1.0,1.7,12.0,,8.21,42,1.3,0.3,0.3,0.1,2.6
336,Justin Harper,PF,Richmond,,137,96,22.9,3.9,8.1,.483,2.6,4.7,.557,1.3,3.4,.382,1.5,2.1,.711,1.4,3.3,4.8,0.7,0.6,0.8,1.3,2.2,10.6,,2.46,14,0.9,0.1,0.1,0.2,1.4
337,Kyle Singler,SF,Duke,,148,147,33.0,5.5,12.7,.433,3.7,7.7,.479,1.8,5.0,.363,3.4,4.3,.773,2.4,4.4,6.9,2.0,1.1,0.7,2.1,2.6,16.2,,8.97,82,4.0,0.9,0.7,0.5,8.8
338,Shelvin Mack,PG,Butler,,108,107,31.2,4.8,11.4,.419,2.8,5.8,.480,2.0,5.6,.357,2.6,3.4,.755,0.8,3.4,4.2,3.3,1.1,0.1,2.2,1.9,14.1,,4.05,64,1.4,2.0,0.4,0.0,3.6
339,Tyler Honeycutt,SF,UCLA,,59,51,31.7,3.6,8.4,.431,2.5,5.3,.473,1.1,3.1,.359,2.0,2.9,.684,1.7,5.2,6.9,2.8,1.2,1.7,2.8,1.9,10.3,,7.90,15,0.9,0.5,0.3,0.2,1.3
340,Jordan Williams,C,Maryland,,66,64,28.6,5.1,9.7,.528,5.1,9.7,.528,0.0,0.0,,3.0,5.3,.559,3.3,6.9,10.2,0.4,0.7,1.2,1.3,2.6,13.2,,6.85,43,3.6,0.3,0.5,0.3,4.6
341,Trey Thompkins,C,Georgia,,89,81,29.5,6.0,12.8,.469,5.1,10.3,.496,0.9,2.5,.357,2.8,3.8,.729,2.0,5.8,7.8,1.4,1.0,1.3,2.6,2.2,15.7,,6.56,24,1.0,0.1,0.1,0.1,2.4
342,Chandler Parsons,SF,Florida,,142,81,27.9,3.7,7.8,.477,2.6,4.6,.575,1.1,3.2,.337,1.7,2.8,.611,1.9,4.1,6.0,2.4,0.9,0.3,1.6,2.0,10.2,,5.90,63,4.8,2.1,1.2,0.5,9.5
343,Jon Leuer,PF,Wisconsin,,123,68,22.8,4.2,8.7,.482,3.4,6.5,.521,0.8,2.2,.368,2.0,2.7,.723,1.3,3.2,4.5,1.1,0.4,0.7,1.2,1.6,11.2,,8.06,46,2.6,0.5,0.3,0.4,4.7
344,Darius Morris,PG,Michigan,,67,53,29.8,3.8,8.0,.469,3.4,6.5,.528,0.3,1.5,.223,2.0,2.9,.695,0.7,2.3,2.9,4.8,0.8,0.1,2.3,2.0,9.9,,10.03,19,0.8,1.1,0.1,0.0,2.4
345,Malcolm Lee,SG,UCLA,,94,65,26.7,3.3,7.5,.441,2.6,4.8,.533,0.8,2.7,.278,2.3,3.2,.717,0.8,2.2,3.0,2.0,0.8,0.2,1.7,2.0,9.7,,7.66,19,1.4,1.6,0.4,0.2,3.3
346,Charles Jenkins,PG,Hofstra,,128,128,35.9,6.6,14.5,.456,5.2,10.8,.482,1.4,3.7,.382,5.0,6.2,.811,1.0,3.3,4.3,3.8,1.7,0.6,3.0,2.5,19.6,,-1.45,51,1.3,3.3,0.6,0.1,5.8
347,Josh Harrellson,PF,Kentucky,,94,40,15.8,2.0,3.6,.549,1.9,3.3,.571,0.1,0.3,.310,0.6,1.0,.649,1.9,2.8,4.7,0.4,0.5,0.9,0.6,1.4,4.7,,6.85,37,3.9,0.3,0.6,0.5,4.4
348,Andrew Goudelock,SG,College of Charleston,,140,124,32.8,6.8,14.9,.457,4.0,8.1,.494,2.8,6.8,.413,1.9,2.2,.838,0.6,2.7,3.3,3.0,0.9,0.3,2.2,1.5,18.4,,-2.92,40,0.8,0.5,0.1,0.0,4.4
349,Travis Leslie,SG,Georgia,,90,68,26.1,4.6,9.6,.482,4.4,9.0,.492,0.2,0.6,.333,2.7,3.7,.743,2.7,3.4,6.1,2.1,1.1,0.7,2.0,1.8,12.2,,6.56,10,0.9,0.5,0.2,0.2,1.4
350,Keith Benson,C,Oakland,,135,126,26.8,5.1,9.1,.558,5.0,8.9,.562,0.1,0.2,.379,3.9,5.7,.679,2.5,5.7,8.2,0.7,0.5,2.7,1.4,2.8,14.1,,-1.32,3,1.0,0.0,0.0,0.0,0.0
351,Josh Selby,PG,Kansas,,26,11,20.4,2.8,7.4,.373,1.5,3.8,.384,1.3,3.6,.362,1.1,1.4,.757,0.4,1.8,2.2,2.2,0.8,0.0,2.0,1.7,7.9,,7.62,28,0.5,1.1,0.3,0.0,2.3
352,Lavoy Allen,PF,Temple,,135,130,32.2,4.4,8.2,.534,4.2,7.7,.549,0.1,0.5,.288,1.6,2.4,.671,3.0,5.5,8.5,2.1,0.5,1.6,1.4,2.5,10.5,,4.24,41,4.2,0.8,0.3,0.4,4.1
353,Vernon Macklin,C,Florida,,71,69,24.8,4.9,8.2,.599,4.9,8.2,.599,0.0,0.0,,1.3,2.6,.511,2.4,3.0,5.5,0.8,0.5,0.8,1.5,2.4,11.1,,,23,1.5,0.2,0.2,0.2,2.0
354,DeAndre Liggins,SF,Kentucky,,100,29,21.9,1.9,4.8,.407,1.3,2.9,.455,0.6,1.9,.332,1.3,2.0,.643,0.5,2.5,3.0,2.1,0.9,0.5,1.5,1.9,5.8,,6.85,17,0.9,0.3,0.4,0.0,1.9
355,E'Twaun Moore,PG,Purdue,,140,135,32.3,5.6,12.7,.440,3.8,8.1,.473,1.7,4.6,.380,2.4,3.3,.729,1.1,3.3,4.4,2.9,1.2,0.4,2.1,2.3,15.3,,7.64,38,0.9,0.9,0.3,0.1,2.9
356,Isaiah Thomas,PG,Washington,,105,104,30.4,5.3,12.4,.426,3.7,7.6,.490,1.6,4.8,.325,4.3,6.0,.713,0.7,2.8,3.5,4.0,1.2,0.1,2.7,2.0,16.4,,7.81,65,2.6,4.1,0.8,0.1,11.5
357,John Wall,PG,Kentucky,,37,37,34.8,5.5,11.8,.461,4.5,8.8,.509,1.0,3.1,.325,4.7,6.3,.754,0.8,3.5,4.3,6.5,1.8,0.5,4.0,1.9,16.6,,6.82,69,4.6,8.3,1.8,0.5,16.4
358,Evan Turner,SG,Ohio State,,101,94,32.8,5.3,10.6,.502,4.8,9.1,.525,0.5,1.5,.362,3.8,5.0,.758,1.5,5.3,6.8,4.1,1.6,0.7,3.5,2.7,15.0,,7.86,78,3.9,2.0,0.6,0.2,7.2
359,Derrick Favors,PF,Georgia Tech,,36,35,27.5,5.0,8.1,.611,5.0,8.1,.613,0.0,0.0,.000,2.5,4.0,.629,3.0,5.4,8.4,1.0,0.9,2.1,2.5,2.6,12.4,,9.02,78,5.3,0.5,0.4,0.9,6.8
360,Wesley Johnson,SG,Syracuse,,35,35,35.0,5.9,11.8,.502,4.5,8.3,.540,1.5,3.5,.415,3.2,4.1,.772,2.1,6.4,8.5,2.2,1.7,1.8,2.3,2.1,16.5,,,79,3.0,1.9,0.7,0.7,9.0
361,DeMarcus Cousins,C,Kentucky,,38,37,23.5,5.4,9.7,.558,5.4,9.6,.565,0.0,0.2,.167,4.3,7.1,.604,4.1,5.8,9.8,1.0,1.0,1.8,2.1,3.2,15.1,,6.82,81,8.6,2.5,1.0,0.8,14.1
362,Ekpe Udoh,C,Baylor,,36,36,35.1,5.3,10.8,.490,5.1,10.1,.505,0.2,0.7,.269,3.1,4.5,.685,3.6,6.2,9.8,2.7,0.8,3.7,2.4,2.4,13.9,,,58,3.1,0.7,0.4,1.5,4.1
363,Greg Monroe,C,Georgetown,,65,65,32.6,5.3,9.8,.543,5.2,9.3,.558,0.1,0.5,.273,3.7,5.5,.677,2.1,6.1,8.2,3.2,1.5,1.5,2.9,2.5,14.5,,9.26,80,7.5,1.3,1.2,0.6,9.4
364,Al-Farouq Aminu,SF,Wake Forest,,62,60,30.1,5.0,10.6,.476,4.6,8.9,.522,0.4,1.7,.238,3.9,5.7,.687,3.3,6.1,9.4,1.4,1.2,1.3,2.9,2.8,14.4,,8.10,81,3.3,0.7,0.7,0.3,5.6
365,Gordon Hayward,SF,Butler,,69,69,33.1,4.3,9.2,.470,2.6,4.6,.569,1.7,4.6,.369,4.1,4.9,.824,1.7,5.7,7.4,1.8,1.3,0.9,2.0,2.1,14.4,,3.57,72,1.9,1.1,0.4,0.3,5.4
366,Paul George,SG,Fresno State,,63,63,33.9,5.1,11.4,.447,3.1,6.5,.485,1.9,4.9,.396,3.4,4.2,.803,1.9,4.8,6.7,2.4,2.0,0.9,2.7,2.8,15.5,,1.13,61,3.7,1.1,1.0,0.4,7.8
367,Cole Aldrich,C,Kansas,,111,71,21.0,3.5,6.1,.574,3.5,6.1,.574,0.0,0.0,,2.3,3.2,.729,2.3,5.5,7.7,0.6,0.5,2.3,1.2,2.1,9.4,,8.12,18,1.9,0.2,0.3,0.4,1.0
368,Xavier Henry,SG,Kansas,,36,36,27.5,4.5,9.8,.458,2.6,5.3,.492,1.9,4.6,.418,2.5,3.2,.783,1.2,3.2,4.4,1.5,1.5,0.5,1.9,1.8,13.4,,8.25,38,1.0,0.5,0.3,0.1,4.3
369,Ed Davis,PF,UNC,,61,25,22.2,3.4,6.3,.548,3.4,6.3,.548,0.0,0.0,,2.3,3.7,.623,2.4,5.3,7.7,0.7,0.4,2.1,1.4,1.9,9.2,,9.09,65,7.1,0.6,0.6,1.0,7.7
370,Patrick Patterson,PF,Kentucky,,97,97,34.0,6.4,10.9,.585,6.1,10.1,.604,0.2,0.8,.329,3.2,4.3,.734,2.9,5.3,8.2,1.5,0.7,1.6,1.6,2.1,16.1,,6.24,52,3.8,0.8,0.3,0.7,6.3
371,Larry Sanders,C,VCU,,101,82,23.5,4.1,7.9,.520,4.1,7.7,.526,0.0,0.2,.250,2.1,3.6,.577,2.5,5.2,7.7,0.5,0.6,2.7,1.5,3.1,10.3,,-0.69,60,3.0,0.3,0.4,1.2,4.3
372,Luke Babbitt,SF,Nevada,,68,68,34.9,6.5,13.6,.480,5.4,11.0,.494,1.1,2.6,.421,5.2,5.8,.893,2.0,6.2,8.1,1.8,0.9,0.8,2.1,2.2,19.4,,1.98,24,1.3,0.3,0.1,0.1,1.5
373,Eric Bledsoe,PG,Kentucky,,37,35,30.3,3.9,8.4,.462,2.6,5.0,.516,1.3,3.5,.383,2.2,3.3,.667,0.5,2.6,3.1,2.9,1.4,0.3,3.0,2.2,11.3,,6.82,81,2.8,3.6,1.1,0.3,6.7
374,Avery Bradley,PG,Texas,,34,32,29.5,4.7,10.8,.432,3.4,7.5,.457,1.2,3.3,.375,1.1,1.9,.545,1.0,1.9,2.9,2.1,1.3,0.5,1.5,2.4,11.6,,7.38,31,0.5,0.4,0.3,0.0,1.7
375,James Anderson,SF,Oklahoma State,,101,99,32.8,5.8,12.6,.460,3.5,6.6,.536,2.2,5.9,.375,4.2,5.2,.797,1.9,3.1,5.1,1.6,1.1,0.6,2.1,2.1,17.9,,7.36,26,0.9,0.7,0.1,0.2,3.6
376,Craig Brackins,PF,Iowa State,,96,95,31.8,6.0,13.4,.445,5.2,10.9,.480,0.7,2.5,.292,3.4,4.7,.726,1.7,6.0,7.7,1.6,0.5,1.0,2.0,2.0,16.0,,7.34,3,1.3,0.3,0.3,0.0,2.7
377,Elliot Williams,SG,Memphis,,34,34,33.3,5.2,11.4,.459,3.5,6.6,.527,1.8,4.8,.366,5.7,7.5,.758,0.7,3.2,4.0,3.8,1.3,0.1,2.9,2.0,17.9,,,24,0.8,0.3,0.3,0.1,3.7
378,Trevor Booker,PF,Clemson,,134,134,28.4,5.1,9.2,.559,5.0,8.6,.574,0.2,0.5,.324,2.4,3.9,.624,3.0,4.9,7.9,1.7,1.1,1.9,1.9,2.3,12.9,,7.85,65,3.9,0.5,0.4,0.6,5.3
379,Damion James,SF,Texas,,142,140,29.3,5.0,10.4,.479,4.2,8.4,.506,0.7,2.0,.364,2.8,4.4,.640,2.9,6.3,9.3,1.1,1.0,1.1,1.8,2.8,13.5,,7.54,25,3.4,0.8,0.6,0.5,4.4
380,Dominique Jones,SG,South Florida,,95,94,36.5,6.2,14.1,.442,4.5,8.9,.512,1.7,5.2,.323,4.8,6.5,.737,1.5,3.9,5.4,3.5,1.5,0.4,2.6,2.6,18.9,,7.32,18,1.4,1.1,0.3,0.2,2.3
381,Quincy Pondexter,SF,Washington,,136,102,27.3,4.8,9.5,.503,4.4,8.3,.528,0.4,1.2,.327,3.1,4.1,.768,2.4,3.2,5.6,1.7,0.8,0.3,1.9,2.5,13.1,,7.55,66,1.3,0.4,0.3,0.2,2.8
382,Jordan Crawford,SG,Xavier,,35,34,32.8,7.4,16.1,.462,5.2,10.3,.501,2.3,5.8,.391,3.4,4.4,.773,1.0,3.8,4.7,2.9,1.3,0.2,2.4,1.6,20.5,,,42,2.5,2.8,0.9,0.1,11.7
383,Greivis Vásquez,SG,Maryland,,136,123,33.6,5.5,13.0,.425,3.8,7.9,.487,1.7,5.1,.329,3.2,3.9,.828,1.0,3.8,4.8,5.7,1.4,0.3,3.3,2.2,16.0,,7.95,70,1.0,2.2,0.3,0.1,3.6
384,Daniel Orton,PF,Kentucky,,38,0,13.2,1.3,2.4,.527,1.3,2.3,.539,0.0,0.1,.000,0.9,1.7,.524,1.2,2.1,3.3,0.4,0.6,1.4,1.0,2.3,3.4,,6.82,16,2.4,0.3,0.5,0.6,2.8
385,Lazar Hayward,SF,Marquette,,138,118,26.4,4.8,10.7,.452,3.6,7.3,.497,1.2,3.4,.357,2.6,3.3,.789,2.2,4.4,6.6,0.9,1.1,0.3,1.7,2.7,13.5,,7.79,42,1.7,0.7,0.3,0.2,3.8
386,Dexter Pittman,C,Texas,,134,59,12.2,2.5,4.0,.623,2.5,4.0,.623,0.0,0.0,,1.6,2.6,.601,2.0,1.9,3.9,0.3,0.2,0.9,1.1,2.0,6.6,,7.54,2,1.5,0.0,0.0,0.0,1.0
387,Hassan Whiteside,C,Marshall,,34,23,26.1,4.9,9.4,.524,4.8,9.2,.522,0.1,0.1,.600,3.2,5.5,.588,2.7,6.2,8.9,0.3,0.6,5.4,1.9,2.4,13.1,,1.57,1,0.0,0.0,0.0,0.0,0.0
388,Armon Johnson,PG,Nevada,,101,99,32.7,5.4,11.6,.467,4.7,9.2,.514,0.7,2.4,.289,2.8,3.7,.750,0.8,2.9,3.7,4.4,0.8,0.2,2.7,1.7,14.3,,1.28,38,0.9,1.2,0.1,0.0,2.9
389,Darington Hobson,SG,New Mexico,,35,35,33.6,5.5,12.5,.440,4.4,9.5,.465,1.1,3.1,.361,3.7,5.7,.653,2.1,7.1,9.3,4.6,1.3,0.4,3.0,1.9,15.9,,3.84,5,0.6,1.2,0.0,0.0,0.8
390,Andy Rautins,SG,Syracuse,,127,65,24.4,2.8,7.1,.396,0.6,1.2,.506,2.2,5.9,.374,0.9,1.2,.763,0.4,2.2,2.6,2.7,1.4,0.2,1.7,1.9,8.8,,7.83,5,0.2,0.6,0.2,0.0,1.6
391,Landry Fields,SG,Stanford,,129,65,23.6,3.9,8.4,.463,3.1,6.0,.510,0.8,2.3,.342,2.3,3.3,.676,1.6,3.5,5.0,1.6,0.9,0.4,1.5,1.6,10.8,,7.35,82,6.4,1.9,1.0,0.2,9.7
392,Lance Stephenson,SG,Cincinnati,,34,32,28.2,4.8,10.8,.440,4.3,8.7,.495,0.5,2.1,.219,2.3,3.5,.664,1.9,3.5,5.4,2.5,0.9,0.2,2.4,1.9,12.3,,8.45,12,1.5,1.8,0.3,0.0,3.1
393,Jarvis Varnado,PF,Mississippi State,,141,119,25.5,3.9,6.6,.589,3.9,6.6,.591,0.0,0.0,.250,2.2,3.6,.595,2.5,5.3,7.8,0.6,0.5,4.0,1.4,2.4,10.0,,5.47,13,0.7,0.2,0.1,0.2,0.6
394,Devin Ebanks,SG,West Virginia,,69,65,32.1,4.0,8.6,.463,3.9,7.6,.510,0.1,1.0,.114,3.1,4.2,.736,2.8,5.2,7.9,2.6,0.9,0.7,2.1,1.7,11.2,,9.30,20,1.4,0.1,0.2,0.3,3.1
395,Jerome Jordan,C,Tulsa,,133,119,24.2,4.1,7.2,.567,4.1,7.2,.567,0.0,0.0,,3.1,4.5,.696,2.2,5.2,7.4,0.8,0.4,2.5,2.0,2.5,11.3,,2.63,21,1.3,0.2,0.0,0.3,2.0
396,Gani Lawal,PF,Georgia Tech,,99,91,24.3,4.5,8.2,.548,4.5,8.2,.550,0.0,0.0,.000,2.8,5.0,.552,2.7,4.5,7.2,0.4,0.6,1.3,2.1,2.4,11.8,,8.64,1,0.0,0.0,0.0,0.0,0.0
397,Solomon Alabi,C,Florida State,,77,68,22.0,3.5,6.6,.534,3.5,6.6,.535,0.0,0.0,.000,2.1,2.9,.745,2.1,3.3,5.4,0.4,0.5,2.1,1.7,2.1,9.1,,7.34,12,1.2,0.2,0.2,0.2,0.5
398,Luke Harangody,PF,Notre Dame,,129,108,29.2,7.3,15.3,.476,6.9,14.3,.486,0.3,1.0,.326,4.4,5.6,.782,3.0,6.5,9.5,1.6,0.8,0.7,1.8,2.4,19.2,,6.73,49,2.9,0.6,0.3,0.3,3.9
399,Willie Warren,PG,Oklahoma,,57,53,31.7,4.9,10.6,.459,3.2,5.8,.550,1.7,4.9,.350,3.8,4.8,.788,0.6,2.1,2.6,3.5,1.1,0.1,2.8,2.3,15.2,,7.33,19,0.6,1.4,0.3,0.0,1.9
400,Jeremy Evans,SF,Western Kentucky,,134,130,23.5,3.2,5.0,.639,3.1,4.7,.654,0.1,0.2,.364,1.5,2.2,.684,2.4,3.5,5.9,0.5,0.6,1.7,1.0,2.4,7.9,,-1.72,49,2.0,0.5,0.3,0.3,3.6
401,Hamady N'Diaye,C,Rutgers,,124,85,22.1,2.2,4.0,.539,2.2,4.0,.542,0.0,0.0,.000,1.5,2.5,.592,1.8,3.7,5.5,0.4,0.4,2.9,1.4,2.7,5.8,,6.36,16,0.4,0.0,0.1,0.3,0.9
