,playerName,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,dummy,SOS
196,Cleanthony Early,Wichita State,,75,58,26.2,4.9,10.5,.470,3.4,6.2,.555,1.5,4.3,.348,3.7,4.6,.819,1.8,3.8,5.7,0.7,0.8,0.8,1.7,2.4,15.1,,3.91
197,Jarnell Stokes,Tennessee,,87,84,29.7,4.7,8.9,.530,4.7,8.9,.532,0.0,0.0,.000,3.5,5.6,.628,3.9,5.7,9.6,1.5,0.7,1.1,2.1,2.2,13.0,,6.82
198,Johnny O'Bryant,LSU,,91,78,27.1,4.9,10.5,.467,4.8,10.2,.474,0.1,0.3,.222,2.8,4.6,.619,3.0,4.7,7.7,1.3,0.5,0.8,2.9,2.8,12.7,,5.38
199,Spencer Dinwiddie,Colorado,,86,86,30.1,3.4,8.0,.420,2.0,4.6,.446,1.3,3.5,.386,4.9,5.9,.830,0.5,2.9,3.3,2.6,1.1,0.3,1.8,2.1,13.0,,7.49
200,Jerami Grant,Syracuse,,72,29,21.9,2.6,5.3,.486,2.5,5.1,.496,0.1,0.3,.300,2.2,3.5,.641,1.7,2.9,4.7,0.9,0.6,0.5,0.9,1.8,7.5,,7.91
201,Glenn Robinson III,Purdue,,62,62,35.1,9.9,20.7,.479,8.1,16.0,.507,1.8,4.6,.385,5.9,7.7,.773,,,9.7,1.9,1.8,1.0,3.9,2.7,27.5,,9.77
202,Nick Johnson,Arizona,,108,101,30.9,4.1,9.7,.421,2.8,6.0,.459,1.3,3.7,.359,2.8,3.9,.734,0.6,3.1,3.7,2.8,1.3,0.6,1.8,2.0,12.3,,7.04
203,Markel Brown,Oklahoma State,,134,103,30.5,4.1,9.4,.439,3.0,6.2,.486,1.1,3.1,.347,3.0,4.1,.733,0.8,3.5,4.3,2.3,1.0,0.8,1.8,2.1,12.4,,7.74
204,Dwight Powell,Stanford,,136,105,26.2,3.8,8.2,.464,3.5,7.3,.484,0.2,0.8,.289,3.0,4.1,.722,1.7,4.6,6.3,1.8,0.9,0.9,2.1,2.9,10.8,,6.38
205,Jordan Clarkson,Missouri,,35,35,35.1,6.0,13.3,.448,5.1,10.1,.501,0.9,3.3,.281,4.6,5.6,.831,0.8,3.0,3.8,3.4,1.1,0.2,2.7,2.2,17.5,,
206,Russ Smith,Louisville,,133,80,24.3,4.7,11.3,.413,3.3,7.4,.449,1.4,3.9,.345,3.7,4.8,.760,0.7,2.0,2.7,2.8,1.9,0.1,2.4,2.4,14.3,,7.79
207,Lamar Patterson,Pitt,,149,106,24.3,3.2,7.4,.435,2.1,4.3,.483,1.1,3.1,.369,1.9,2.6,.723,1.2,2.8,3.9,2.9,1.0,0.3,1.6,1.9,9.5,,6.86
208,Cameron Bairstow,New Mexico,,134,55,20.8,3.1,6.0,.517,3.1,6.0,.519,0.0,0.0,.333,3.0,4.2,.717,1.7,3.0,4.8,0.8,0.5,0.7,1.2,2.1,9.2,,4.93
209,Semaj Christon,Xavier,,64,63,34.8,5.7,12.3,.462,5.3,11.1,.476,0.4,1.2,.338,4.4,6.6,.670,0.3,2.5,2.8,4.4,1.4,0.2,3.1,2.4,16.2,,6.55
210,Jordan McRae,Tennessee,,114,74,27.1,4.4,10.4,.417,2.8,5.9,.475,1.6,4.6,.343,3.1,4.0,.769,0.7,2.6,3.3,1.8,0.6,0.9,2.0,1.9,13.3,,7.30
211,Cory Jefferson,Baylor,,130,76,19.9,3.3,6.1,.543,3.2,5.7,.556,0.1,0.4,.340,2.2,3.3,.660,1.9,3.7,5.6,0.4,0.3,1.3,0.8,1.7,8.9,,8.32
212,Anthony Bennett,UNLV,,35,31,27.1,5.8,10.8,.533,4.7,8.1,.587,1.0,2.7,.375,3.5,5.1,.701,2.5,5.7,8.1,1.0,0.7,1.2,1.9,2.3,16.1,,5.71
213,Victor Oladipo,Indiana,,104,75,24.6,3.9,7.3,.538,3.4,5.9,.585,0.5,1.4,.338,2.5,3.5,.716,2.0,3.2,5.2,1.7,1.5,0.5,2.0,2.4,10.7,,7.94
