,playerName,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,dummy,SOS
349,DeMarcus Cousins,Kentucky,,38,37,23.5,5.4,9.7,.558,5.4,9.6,.565,0.0,0.2,.167,4.3,7.1,.604,4.1,5.8,9.8,1.0,1.0,1.8,2.1,3.2,15.1,,6.82
350,Ekpe Udoh,Baylor,,36,36,35.1,5.3,10.8,.490,5.1,10.1,.505,0.2,0.7,.269,3.1,4.5,.685,3.6,6.2,9.8,2.7,0.8,3.7,2.4,2.4,13.9,,
351,Greg Monroe,Georgetown,,65,65,32.6,5.3,9.8,.543,5.2,9.3,.558,0.1,0.5,.273,3.7,5.5,.677,2.1,6.1,8.2,3.2,1.5,1.5,2.9,2.5,14.5,,9.26
352,Al-Farouq Aminu,Wake Forest,,62,60,30.1,5.0,10.6,.476,4.6,8.9,.522,0.4,1.7,.238,3.9,5.7,.687,3.3,6.1,9.4,1.4,1.2,1.3,2.9,2.8,14.4,,8.10
353,Gordon Hayward,Butler,,69,69,33.1,4.3,9.2,.470,2.6,4.6,.569,1.7,4.6,.369,4.1,4.9,.824,1.7,5.7,7.4,1.8,1.3,0.9,2.0,2.1,14.4,,3.57
354,Paul George,Fresno State,,63,63,33.9,5.1,11.4,.447,3.1,6.5,.485,1.9,4.9,.396,3.4,4.2,.803,1.9,4.8,6.7,2.4,2.0,0.9,2.7,2.8,15.5,,1.13
355,Cole Aldrich,Kansas,,111,71,21.0,3.5,6.1,.574,3.5,6.1,.574,0.0,0.0,,2.3,3.2,.729,2.3,5.5,7.7,0.6,0.5,2.3,1.2,2.1,9.4,,8.12
356,Xavier Henry,Kansas,,36,36,27.5,4.5,9.8,.458,2.6,5.3,.492,1.9,4.6,.418,2.5,3.2,.783,1.2,3.2,4.4,1.5,1.5,0.5,1.9,1.8,13.4,,8.25
357,Ed Davis,UNC,,61,25,22.2,3.4,6.3,.548,3.4,6.3,.548,0.0,0.0,,2.3,3.7,.623,2.4,5.3,7.7,0.7,0.4,2.1,1.4,1.9,9.2,,9.09
358,Patrick Patterson,Kentucky,,97,97,34.0,6.4,10.9,.585,6.1,10.1,.604,0.2,0.8,.329,3.2,4.3,.734,2.9,5.3,8.2,1.5,0.7,1.6,1.6,2.1,16.1,,6.24
359,Larry Sanders,VCU,,101,82,23.5,4.1,7.9,.520,4.1,7.7,.526,0.0,0.2,.250,2.1,3.6,.577,2.5,5.2,7.7,0.5,0.6,2.7,1.5,3.1,10.3,,-0.69
360,Luke Babbitt,Nevada,,68,68,34.9,6.5,13.6,.480,5.4,11.0,.494,1.1,2.6,.421,5.2,5.8,.893,2.0,6.2,8.1,1.8,0.9,0.8,2.1,2.2,19.4,,1.98
361,Eric Bledsoe,Kentucky,,37,35,30.3,3.9,8.4,.462,2.6,5.0,.516,1.3,3.5,.383,2.2,3.3,.667,0.5,2.6,3.1,2.9,1.4,0.3,3.0,2.2,11.3,,6.82
362,Avery Bradley,Texas,,34,32,29.5,4.7,10.8,.432,3.4,7.5,.457,1.2,3.3,.375,1.1,1.9,.545,1.0,1.9,2.9,2.1,1.3,0.5,1.5,2.4,11.6,,7.38
363,James Anderson,BYU,,87,1,6.3,0.7,1.4,.463,0.7,1.4,.463,0.0,0.0,,0.3,0.7,.390,0.5,0.7,1.3,0.2,0.1,0.4,0.2,1.6,1.6,,4.30
364,Craig Brackins,Iowa State,,96,95,31.8,6.0,13.4,.445,5.2,10.9,.480,0.7,2.5,.292,3.4,4.7,.726,1.7,6.0,7.7,1.6,0.5,1.0,2.0,2.0,16.0,,7.34
365,Elliot Williams,Memphis,,34,34,33.3,5.2,11.4,.459,3.5,6.6,.527,1.8,4.8,.366,5.7,7.5,.758,0.7,3.2,4.0,3.8,1.3,0.1,2.9,2.0,17.9,,
366,Trevor Booker,Clemson,,134,134,28.4,5.1,9.2,.559,5.0,8.6,.574,0.2,0.5,.324,2.4,3.9,.624,3.0,4.9,7.9,1.7,1.1,1.9,1.9,2.3,12.9,,7.85
367,Damion James,Texas,,142,140,29.3,5.0,10.4,.479,4.2,8.4,.506,0.7,2.0,.364,2.8,4.4,.640,2.9,6.3,9.3,1.1,1.0,1.1,1.8,2.8,13.5,,7.54
368,Dominique Jones,South Florida,,95,94,36.5,6.2,14.1,.442,4.5,8.9,.512,1.7,5.2,.323,4.8,6.5,.737,1.5,3.9,5.4,3.5,1.5,0.4,2.6,2.6,18.9,,7.32
369,Quincy Pondexter,Washington,,136,102,27.3,4.8,9.5,.503,4.4,8.3,.528,0.4,1.2,.327,3.1,4.1,.768,2.4,3.2,5.6,1.7,0.8,0.3,1.9,2.5,13.1,,7.55
370,Jordan Crawford,Xavier,,35,34,32.8,7.4,16.1,.462,5.2,10.3,.501,2.3,5.8,.391,3.4,4.4,.773,1.0,3.8,4.7,2.9,1.3,0.2,2.4,1.6,20.5,,
371,Daniel Orton,Kentucky,,38,0,13.2,1.3,2.4,.527,1.3,2.3,.539,0.0,0.1,.000,0.9,1.7,.524,1.2,2.1,3.3,0.4,0.6,1.4,1.0,2.3,3.4,,6.82
372,Lazar Hayward,Marquette,,138,118,26.4,4.8,10.7,.452,3.6,7.3,.497,1.2,3.4,.357,2.6,3.3,.789,2.2,4.4,6.6,0.9,1.1,0.3,1.7,2.7,13.5,,7.79
373,Dexter Pittman,Texas,,134,59,12.2,2.5,4.0,.623,2.5,4.0,.623,0.0,0.0,,1.6,2.6,.601,2.0,1.9,3.9,0.3,0.2,0.9,1.1,2.0,6.6,,7.54
374,Hassan Whiteside,Marshall,,34,23,26.1,4.9,9.4,.524,4.8,9.2,.522,0.1,0.1,.600,3.2,5.5,.588,2.7,6.2,8.9,0.3,0.6,5.4,1.9,2.4,13.1,,1.57
375,Armon Johnson,Nevada,,101,99,32.7,5.4,11.6,.467,4.7,9.2,.514,0.7,2.4,.289,2.8,3.7,.750,0.8,2.9,3.7,4.4,0.8,0.2,2.7,1.7,14.3,,1.28
376,Darington Hobson,New Mexico,,35,35,33.6,5.5,12.5,.440,4.4,9.5,.465,1.1,3.1,.361,3.7,5.7,.653,2.1,7.1,9.3,4.6,1.3,0.4,3.0,1.9,15.9,,3.84
377,Andy Rautins,Syracuse,,127,65,24.4,2.8,7.1,.396,0.6,1.2,.506,2.2,5.9,.374,0.9,1.2,.763,0.4,2.2,2.6,2.7,1.4,0.2,1.7,1.9,8.8,,7.83
378,Landry Fields,Stanford,,129,65,23.6,3.9,8.4,.463,3.1,6.0,.510,0.8,2.3,.342,2.3,3.3,.676,1.6,3.5,5.0,1.6,0.9,0.4,1.5,1.6,10.8,,7.35
379,Lance Stephenson,Cincinnati,,34,32,28.2,4.8,10.8,.440,4.3,8.7,.495,0.5,2.1,.219,2.3,3.5,.664,1.9,3.5,5.4,2.5,0.9,0.2,2.4,1.9,12.3,,8.45
380,Jarvis Varnado,Mississippi State,,141,119,25.5,3.9,6.6,.589,3.9,6.6,.591,0.0,0.0,.250,2.2,3.6,.595,2.5,5.3,7.8,0.6,0.5,4.0,1.4,2.4,10.0,,5.47
381,Devin Ebanks,West Virginia,,69,65,32.1,4.0,8.6,.463,3.9,7.6,.510,0.1,1.0,.114,3.1,4.2,.736,2.8,5.2,7.9,2.6,0.9,0.7,2.1,1.7,11.2,,9.30
382,Jerome Jordan,Tulsa,,133,119,24.2,4.1,7.2,.567,4.1,7.2,.567,0.0,0.0,,3.1,4.5,.696,2.2,5.2,7.4,0.8,0.4,2.5,2.0,2.5,11.3,,2.63
383,Gani Lawal,Georgia Tech,,99,91,24.3,4.5,8.2,.548,4.5,8.2,.550,0.0,0.0,.000,2.8,5.0,.552,2.7,4.5,7.2,0.4,0.6,1.3,2.1,2.4,11.8,,8.64
384,Solomon Alabi,Florida State,,77,68,22.0,3.5,6.6,.534,3.5,6.6,.535,0.0,0.0,.000,2.1,2.9,.745,2.1,3.3,5.4,0.4,0.5,2.1,1.7,2.1,9.1,,7.34
385,Luke Harangody,Notre Dame,,129,108,29.2,7.3,15.3,.476,6.9,14.3,.486,0.3,1.0,.326,4.4,5.6,.782,3.0,6.5,9.5,1.6,0.8,0.7,1.8,2.4,19.2,,6.73
386,Willie Warren,Oklahoma,,57,53,31.7,4.9,10.6,.459,3.2,5.8,.550,1.7,4.9,.350,3.8,4.8,.788,0.6,2.1,2.6,3.5,1.1,0.1,2.8,2.3,15.2,,7.33
387,Jeremy Evans,Western Kentucky,,134,130,23.5,3.2,5.0,.639,3.1,4.7,.654,0.1,0.2,.364,1.5,2.2,.684,2.4,3.5,5.9,0.5,0.6,1.7,1.0,2.4,7.9,,-1.72
388,Hamady N'Diaye,Rutgers,,124,85,22.1,2.2,4.0,.539,2.2,4.0,.542,0.0,0.0,.000,1.5,2.5,.592,1.8,3.7,5.5,0.4,0.4,2.9,1.4,2.7,5.8,,6.36
389,Ryan Reid,Florida State,,126,66,20.2,1.9,3.8,.495,1.9,3.8,.494,0.0,0.0,1.000,1.2,2.0,.604,1.7,2.2,3.9,0.7,0.5,0.6,1.6,1.9,5.0,,7.66
390,Derrick Caracter,UTEP,,27,22,26.7,5.5,9.7,.567,5.3,9.1,.585,0.1,0.6,.267,3.0,4.4,.672,2.7,5.4,8.1,1.1,1.0,0.9,2.9,3.0,14.1,,
391,Hasheem Thabeet,UConn,,100,99,29.3,3.6,5.9,.611,3.6,5.9,.611,0.0,0.0,,3.1,5.0,.625,3.0,5.4,8.5,0.4,0.4,4.2,1.8,2.6,10.3,,7.14
392,James Harden,Arizona State,,69,68,35.0,6.0,11.9,.506,4.6,8.0,.570,1.5,3.9,.376,5.4,7.2,.755,1.3,4.1,5.4,3.7,1.9,0.4,3.0,2.5,19.0,,7.05
393,Tyreke Evans,Memphis,,37,35,29.0,6.2,13.6,.455,5.3,10.3,.514,0.9,3.4,.274,3.7,5.2,.711,1.3,4.1,5.4,3.9,2.1,0.8,3.6,2.4,17.1,,4.63
394,Jonny Flynn,Syracuse,,73,73,36.5,5.6,12.2,.460,4.2,8.1,.525,1.4,4.2,.333,4.0,5.1,.782,0.6,2.1,2.7,6.0,1.5,0.2,3.1,1.5,16.6,,8.72
395,Stephen Curry,Davidson,,104,103,32.6,8.4,17.9,.467,4.4,8.3,.530,4.0,9.7,.412,4.6,5.3,.876,0.8,3.8,4.5,3.7,2.1,0.3,3.0,2.4,25.3,,-1.31
396,Jordan Hill,Arizona,,97,79,27.0,5.1,8.8,.578,5.1,8.8,.578,0.0,0.0,,2.3,3.6,.636,2.8,5.1,7.9,0.8,0.5,1.4,2.0,2.7,12.5,,9.93
397,DeMar DeRozan,USC,,35,35,33.4,5.5,10.5,.523,5.3,9.5,.562,0.2,1.0,.167,2.7,4.2,.646,2.4,3.3,5.7,1.5,0.9,0.4,2.1,2.1,13.9,,9.15
398,Terrence Williams,Louisville,,140,127,32.2,4.1,10.3,.400,2.7,6.0,.457,1.4,4.4,.320,1.5,2.6,.589,1.5,5.5,6.9,3.9,1.5,0.6,2.4,1.9,11.2,,7.65
399,Gerald Henderson,VCU,,103,,32.9,6.6,13.8,.481,1.7,2.8,.627,3.2,2.5,2.1,0.3,4.2,2.6,15.0,,-6.46,,,,,,,,
400,Tyler Hansbrough,UNC,,142,141,30.9,6.6,12.3,.536,6.5,12.1,.541,0.1,0.3,.316,6.9,8.7,.791,3.4,5.2,8.6,1.1,1.3,0.5,2.1,2.5,20.2,,8.39
401,Earl Clark,Louisville,,104,63,26.7,4.0,8.6,.467,3.5,6.8,.512,0.5,1.8,.298,2.0,3.2,.640,2.1,4.9,7.0,1.7,0.9,1.2,2.1,1.7,10.6,,8.03
402,Austin Daye,Gonzaga,,67,34,22.5,4.1,8.6,.477,3.2,6.4,.495,0.9,2.2,.422,2.5,3.1,.790,0.9,4.9,5.8,1.0,0.7,1.9,1.9,2.6,11.6,,2.85
403,James Johnson,Quinnipiac,,127,127,33.7,4.6,11.9,.385,2.9,7.3,.394,1.7,4.6,.370,2.8,3.5,.792,0.8,2.7,3.5,3.8,1.5,0.1,2.2,2.3,13.6,,-7.53
404,Jrue Holiday,UCLA,,35,35,27.1,3.2,7.1,.450,2.4,4.6,.528,0.8,2.5,.307,1.3,1.8,.726,1.3,2.5,3.8,3.7,1.6,0.5,2.1,2.1,8.5,,7.18
405,Ty Lawson,UNC,,105,95,27.0,4.4,8.5,.517,3.3,5.9,.568,1.1,2.6,.403,3.2,4.1,.780,0.6,2.3,2.9,5.8,1.8,0.1,2.1,2.0,13.1,,8.59
406,Jeff Teague,Wake Forest,,61,52,30.9,5.2,11.2,.462,3.9,8.2,.477,1.3,3.0,.421,4.8,5.9,.812,0.5,2.5,3.0,3.0,1.9,0.6,3.0,2.3,16.4,,8.09
407,Eric Maynor,VCU,,130,104,30.7,5.0,11.2,.449,3.9,8.3,.477,1.1,3.0,.370,3.9,4.9,.791,0.5,2.9,3.4,5.2,1.3,0.2,2.4,2.0,15.0,,-0.76
408,Darren Collison,UCLA,,142,104,29.2,4.0,8.3,.475,2.8,5.7,.494,1.2,2.7,.435,2.5,2.9,.851,0.4,1.8,2.3,4.1,1.6,0.1,2.4,1.4,11.5,,8.25
409,Taj Gibson,USC,,105,104,32.7,4.8,8.2,.580,4.8,8.2,.580,0.0,0.0,,2.9,4.6,.629,2.9,5.6,8.5,1.4,0.7,2.4,2.5,3.1,12.4,,8.54
410,DeMarre Carroll,Missouri,,70,68,26.8,5.8,10.6,.549,5.6,9.7,.570,0.3,0.9,.311,3.0,4.8,.624,2.6,4.3,6.9,1.8,1.4,0.7,1.5,2.4,14.9,,
411,Wayne Ellington,UNC,,115,112,28.5,5.4,11.6,.463,3.4,6.6,.513,2.0,5.0,.397,2.0,2.5,.809,1.1,3.0,4.1,2.2,0.9,0.1,1.5,1.5,14.7,,8.59
412,Toney Douglas,Florida State,,99,95,33.8,5.7,12.6,.448,3.9,7.9,.491,1.8,4.8,.376,3.6,4.5,.806,0.8,2.5,3.3,2.9,1.9,0.3,2.6,2.2,16.7,,
413,Jermaine Taylor,UCF,,122,60,25.8,5.8,12.5,.466,3.8,7.0,.536,2.1,5.5,.376,2.5,3.3,.764,1.5,2.3,3.9,1.4,0.9,0.4,2.2,1.7,16.2,,0.56
414,Dante Cunningham,Villanova,,139,104,27.2,3.7,7.1,.524,3.7,7.0,.525,0.0,0.0,.333,2.2,3.2,.693,2.5,3.4,5.9,1.0,1.2,0.8,1.8,2.8,9.6,,8.70
415,DaJuan Summers,Georgetown,,101,98,27.6,3.6,8.3,.439,2.2,4.2,.522,1.4,4.1,.353,2.5,3.4,.727,1.3,3.1,4.4,1.3,1.0,0.6,2.2,2.4,11.2,,8.56
416,Sam Young,Pitt,,143,78,25.5,5.0,10.1,.498,4.2,7.8,.539,0.8,2.3,.356,2.4,3.4,.692,1.8,3.2,5.0,1.0,0.8,0.8,1.9,1.7,13.2,,8.00
417,DeJuan Blair,Pitt,,72,71,26.6,5.5,9.6,.568,5.5,9.6,.568,0.0,0.0,,2.7,4.3,.614,4.7,6.0,10.7,1.1,1.6,1.0,1.6,2.8,13.6,,8.23
418,Jon Brockman,Washington,,131,129,28.7,5.5,10.3,.534,5.5,10.3,.534,0.0,0.0,.000,2.8,4.6,.612,3.7,6.1,9.8,1.0,0.8,0.1,2.1,2.8,13.8,,7.16
419,Derrick Brown,Xavier,,106,72,25.0,3.7,6.5,.573,3.2,5.3,.610,0.5,1.2,.415,2.4,3.3,.718,1.9,3.7,5.6,1.5,0.7,0.8,1.6,2.5,10.3,,4.50
420,Jodie Meeks,Kentucky,,81,42,27.7,4.8,10.9,.436,2.6,5.2,.491,2.2,5.7,.386,3.7,4.1,.890,0.7,2.4,3.0,1.6,1.1,0.1,1.8,1.6,15.4,,7.77
421,Patrick Beverley,Arkansas,,70,67,34.1,4.1,9.7,.420,2.1,4.6,.463,2.0,5.2,.382,2.8,3.9,.730,1.2,4.4,5.5,2.8,1.5,0.4,2.0,2.3,13.0,,7.74
422,Marcus Thornton,LSU,,66,65,32.7,7.1,15.6,.455,4.5,8.9,.510,2.5,6.7,.382,3.7,4.8,.771,2.0,3.5,5.5,1.8,1.5,0.3,2.0,2.0,20.4,,4.46
423,Chase Budinger,Arizona,,100,100,35.4,6.0,12.8,.469,4.1,7.8,.524,1.9,5.0,.383,3.1,4.0,.782,1.4,4.4,5.8,2.8,1.3,0.4,2.1,1.8,17.0,,9.93
424,Nick Calathes,Florida,,72,71,33.0,5.3,11.6,.455,3.5,6.8,.507,1.8,4.8,.380,3.9,5.4,.715,1.0,4.3,5.3,6.3,1.8,0.1,3.1,2.0,16.3,,4.43
425,Danny Green,UNC,,145,39,19.9,3.4,7.4,.455,2.1,4.1,.522,1.3,3.4,.375,1.4,1.6,.845,1.4,2.7,4.1,1.8,1.1,1.1,1.4,1.9,9.4,,8.39
426,Taylor Griffin,Oklahoma,,129,78,22.3,2.3,4.9,.468,2.2,4.5,.493,0.1,0.5,.220,1.9,2.6,.721,1.7,3.0,4.8,1.0,0.9,0.8,1.4,2.5,6.6,,7.19
427,A.J. Price,UConn,,99,91,29.4,4.3,10.5,.413,2.7,6.1,.447,1.6,4.4,.365,2.7,3.7,.722,0.8,2.6,3.4,4.7,1.1,0.1,2.4,1.4,13.0,,7.14
428,Lester Hudson,UT-Martin,,65,64,36.5,9.3,20.4,.456,5.8,10.8,.530,3.5,9.5,.372,4.4,5.2,.858,2.2,5.7,7.9,4.4,2.6,0.6,3.6,2.7,26.6,,-5.64
429,Derrick Rose,Memphis,,40,39,29.2,5.2,10.9,.477,4.3,8.3,.521,0.9,2.6,.337,3.7,5.1,.712,1.4,3.2,4.5,4.7,1.2,0.4,2.7,1.7,14.9,,5.76
430,Michael Beasley,Kansas State,,33,33,31.5,9.3,17.5,.532,8.2,14.6,.562,1.1,2.9,.379,6.5,8.5,.774,4.0,8.4,12.4,1.2,1.3,1.6,2.9,2.6,26.2,,7.79
431,O.J. Mayo,USC,,33,32,36.8,7.2,16.2,.442,4.5,9.7,.464,2.7,6.5,.409,3.7,4.6,.803,1.1,3.5,4.5,3.3,1.5,0.4,3.5,2.4,20.7,,8.59
432,Russell Westbrook,UCLA,,75,35,21.9,3.1,6.6,.464,2.6,5.3,.491,0.5,1.3,.354,1.7,2.4,.685,0.9,1.5,2.4,2.5,1.0,0.1,1.6,1.7,8.3,,8.77
433,Kevin Love,UCLA,,39,38,29.6,5.8,10.4,.559,5.1,8.3,.611,0.7,2.1,.354,5.1,6.6,.767,3.6,7.0,10.6,1.9,0.7,1.4,2.0,1.9,17.5,,7.71
434,Eric Gordon,Indiana,,32,32,34.7,5.8,13.3,.433,3.6,6.8,.525,2.2,6.5,.337,7.2,8.7,.834,0.7,2.5,3.3,2.4,1.3,0.6,3.6,2.2,20.9,,6.08
435,Joe Alexander,West Virginia,,82,70,25.3,4.5,10.0,.447,3.9,7.9,.488,0.6,2.1,.295,2.5,3.3,.765,1.5,3.3,4.8,2.0,0.6,1.2,1.8,2.2,12.1,,7.04
436,D.J. Augustin,Texas,,73,73,36.5,5.4,12.2,.443,3.8,8.2,.463,1.6,4.1,.402,4.4,5.5,.808,0.6,2.3,2.9,6.2,1.4,0.0,3.0,1.9,16.9,,7.35
437,Brook Lopez,Stanford,,53,43,28.0,6.1,12.7,.480,6.1,12.3,.491,0.1,0.4,.143,3.7,4.9,.764,2.3,4.8,7.1,1.1,0.5,1.9,2.1,2.6,16.0,,8.01
438,Jerryd Bayless,Arizona,,30,30,35.7,5.8,12.6,.458,3.8,7.8,.489,2.0,4.8,.407,6.2,7.4,.839,0.4,2.3,2.7,4.0,1.0,0.1,3.0,2.2,19.7,,10.22
439,Jason Thompson,Rider,,122,112,32.1,6.2,11.8,.526,6.0,11.0,.544,0.2,0.8,.291,4.0,6.0,.667,3.0,6.6,9.6,2.0,0.9,1.9,2.6,3.0,16.7,,-3.38
440,Brandon Rush,Kansas,,109,101,31.3,4.9,10.9,.449,3.0,6.6,.458,1.9,4.3,.435,1.8,2.5,.733,1.5,4.0,5.5,2.0,0.7,0.8,2.1,1.5,13.6,,7.56
441,Anthony Randolph,LSU,,31,31,32.8,5.9,12.7,.464,5.8,12.1,.483,0.1,0.6,.105,3.7,5.4,.693,2.8,5.7,8.5,1.2,1.1,2.3,3.0,2.7,15.6,,5.66
442,Robin Lopez,Stanford,,67,61,24.3,3.5,6.9,.511,3.5,6.9,.511,0.0,0.0,.500,1.9,3.1,.612,2.6,3.1,5.6,0.8,0.3,2.3,1.6,2.5,9.0,,8.01
443,Marreese Speights,Florida,,69,36,15.4,4.0,6.2,.633,4.0,6.2,.633,0.0,0.0,,1.6,2.3,.688,1.9,3.6,5.4,0.5,0.3,0.9,1.1,1.7,9.5,,6.16
444,Roy Hibbert,Georgetown,,136,121,23.3,4.2,7.0,.603,4.2,7.0,.602,0.0,0.0,1.000,2.4,3.5,.680,2.3,3.7,5.9,1.3,0.4,1.9,1.5,2.5,10.9,,7.54
445,JaVale McGee,Nevada,,66,31,18.7,3.5,6.5,.542,3.3,5.9,.563,0.2,0.7,.356,1.4,2.7,.514,1.7,3.0,4.8,0.3,0.5,1.8,1.6,2.0,8.7,,0.49
446,J.J. Hickson,NC State,,31,26,28.7,5.3,8.9,.591,5.3,8.9,.593,0.0,0.0,.000,4.3,6.3,.677,2.6,5.9,8.5,1.0,0.7,1.5,2.7,1.9,14.8,,9.06
447,Ryan Anderson,California,,66,66,33.0,6.3,13.1,.484,4.5,8.5,.532,1.8,4.7,.396,4.2,5.0,.841,2.7,6.3,9.0,1.0,0.5,0.5,1.8,2.5,18.7,,8.56
448,Courtney Lee,Western Kentucky,,127,127,31.2,6.3,13.6,.464,4.4,8.8,.498,1.9,4.8,.401,3.1,3.7,.817,1.7,3.5,5.2,2.2,1.9,0.6,2.5,2.5,17.6,,-1.08
449,Kosta Koufos,Ohio State,,37,35,27.1,6.0,11.8,.508,5.4,10.1,.535,0.6,1.7,.349,1.8,2.7,.680,2.6,4.0,6.7,0.5,0.4,1.8,1.5,2.2,14.4,,7.97
450,George Hill,IUPUI,,95,87,33.3,5.6,10.7,.529,4.7,8.3,.565,0.9,2.3,.404,4.8,6.1,.785,1.9,3.8,5.8,3.3,1.6,0.3,2.5,2.8,17.0,,-3.26
451,Darrell Arthur,Kansas,,78,46,21.9,4.7,8.7,.541,4.7,8.5,.552,0.0,0.2,.118,1.8,2.7,.676,2.2,3.3,5.5,0.6,0.7,1.4,1.6,2.8,11.3,,7.53
452,D.J. White,Indiana,,99,97,30.6,5.5,9.8,.562,5.5,9.8,.563,0.0,0.0,.333,3.5,5.1,.690,2.4,5.1,7.6,0.9,0.7,2.0,1.7,2.6,14.6,,7.95
453,J.R. Giddens,New Mexico,,59,55,31.3,6.2,12.9,.481,5.1,9.3,.545,1.1,3.6,.313,2.6,4.4,.588,1.5,6.3,7.8,2.8,1.2,0.9,2.4,1.8,16.1,,
454,Walter Sharpe,Alabama-Birmingham,,12,10,24.9,5.7,10.8,.523,5.7,10.6,.535,0.0,0.3,.000,2.8,5.4,.523,1.8,5.0,6.8,1.7,1.2,1.8,2.8,3.0,14.2,,
455,Joey Dorsey,Memphis,,149,112,21.7,2.7,4.4,.614,2.7,4.4,.614,0.0,0.0,,1.3,3.1,.420,3.4,4.7,8.1,0.5,1.1,1.8,1.3,3.1,6.7,,4.83
456,Mario Chalmers,Kansas,,110,96,28.5,4.0,8.3,.486,2.4,4.4,.545,1.6,3.9,.419,2.5,3.2,.767,0.3,2.5,2.8,3.8,2.6,0.4,2.4,2.4,12.2,,7.56
457,DeAndre Jordan,Texas A&M,,35,21,20.1,3.2,5.2,.617,3.2,5.2,.617,0.0,0.0,,1.5,3.4,.437,1.9,4.1,6.0,0.4,0.2,1.3,1.6,1.9,7.9,,7.46
458,Kyle Weaver,Washington State,,121,103,29.8,3.3,7.2,.464,3.0,5.9,.505,0.4,1.3,.277,2.6,3.6,.716,1.3,3.4,4.7,3.8,1.6,0.8,2.6,2.0,9.6,,6.88
459,Sonny Weems,Arkansas,,69,66,31.2,5.2,11.0,.473,3.8,7.3,.527,1.3,3.7,.366,1.6,2.1,.767,1.6,3.0,4.6,2.3,1.3,0.3,2.7,2.0,13.3,,7.74
460,Chris Douglas-Roberts,Memphis,,109,100,26.1,5.1,9.4,.540,4.4,7.6,.579,0.7,1.8,.372,3.3,4.6,.725,1.2,2.4,3.7,1.7,1.0,0.4,2.0,1.9,14.2,,4.64
461,Sean Singletary,Virginia,,123,123,32.8,5.2,12.9,.406,3.4,7.9,.433,1.8,5.0,.362,4.7,5.5,.846,1.0,3.0,4.0,4.8,1.6,0.1,3.3,2.7,16.9,,7.98
462,Patrick Ewing,Georgetown,,143,101,30.8,6.0,9.7,.620,,,,,,,3.3,5.2,.635,9.2,0.9,1.2,3.4,2.3,3.0,15.3,,5.82,,
463,Malik Hairston,Oregon,,117,115,31.2,5.2,10.4,.504,4.0,7.2,.551,1.2,3.1,.395,2.4,3.7,.643,2.0,3.1,5.1,2.1,0.6,0.6,2.0,2.5,14.1,,6.87
464,Darnell Jackson,Kansas,,125,39,16.6,2.5,4.3,.580,2.5,4.2,.583,0.0,0.0,.333,1.8,2.6,.685,1.7,3.2,4.9,0.5,0.5,0.4,1.0,1.8,6.8,,8.38
465,Mike Taylor,Iowa State,,31,30,35.0,5.3,14.2,.376,2.8,7.3,.391,2.5,6.9,.360,2.8,4.2,.682,0.7,3.4,4.1,4.5,1.1,0.1,5.4,2.9,16.0,,5.19
466,Sasha Kaun,Kansas,,135,65,16.5,2.5,4.3,.568,2.5,4.3,.568,0.0,0.0,,1.2,2.4,.512,1.5,2.3,3.9,0.3,0.4,1.1,0.8,2.3,6.1,,8.38
467,Joe Crawford,Kentucky,,127,76,25.3,4.0,9.2,.438,2.6,5.0,.512,1.5,4.2,.350,1.8,2.6,.702,1.2,2.2,3.4,1.5,0.5,0.2,1.6,1.9,11.3,,8.87
468,Kevin Durant,Texas,,35,35,35.9,8.7,18.5,.473,6.4,12.7,.505,2.3,5.8,.404,6.0,7.3,.816,3.0,8.1,11.1,1.3,1.9,1.9,2.8,2.0,25.8,,6.12
469,Al Horford,Florida,,109,100,25.7,3.9,6.6,.586,3.9,6.6,.589,0.0,0.0,.000,2.5,4.1,.619,2.3,5.6,7.9,1.7,0.9,1.7,1.6,2.5,10.3,,6.65
470,Mike Conley,Ohio State,,39,39,31.6,4.1,7.9,.518,3.6,6.2,.579,0.5,1.8,.304,2.6,3.7,.694,0.7,2.7,3.4,6.1,2.2,0.3,2.2,1.5,11.3,,9.03
471,Jeff Green,Georgetown,,102,102,33.2,4.8,9.7,.488,3.9,7.3,.531,0.9,2.4,.359,2.7,3.9,.700,2.1,4.4,6.5,3.1,0.9,1.2,2.5,2.5,13.1,,7.65
472,Corey Brewer,Florida,,108,106,27.2,4.0,8.2,.480,3.0,5.7,.536,0.9,2.6,.356,2.5,3.6,.708,1.3,3.0,4.3,2.8,1.6,0.4,2.3,2.2,11.3,,6.65
473,Brandan Wright,UNC,,37,37,27.4,6.2,9.5,.646,6.2,9.5,.646,0.0,0.0,,2.4,4.2,.567,2.1,4.1,6.2,1.0,1.0,1.8,1.6,1.5,14.7,,9.30
474,Joakim Noah,Florida,,108,78,21.1,3.8,6.2,.616,3.8,6.2,.617,0.0,0.0,.500,2.9,4.2,.684,2.0,4.4,6.4,1.7,0.9,1.7,1.8,2.0,10.5,,6.65
475,Spencer Hawes,Washington,,31,24,28.9,6.2,11.7,.532,6.2,11.6,.533,0.0,0.1,.333,2.4,3.2,.755,2.0,4.4,6.4,1.9,0.5,1.7,2.5,2.3,14.9,,6.50
