,playerName,playerNameTrue,Pos,GP,TRB,AST,STL,BLK,PTS
66,Harry Giles,Harry Giles,PF,58.0,3.8,1.5,0.5,0.4,7.0
67,Jarrett Allen,Jarrett Allen,C,72.0,5.4,0.7,0.4,1.2,8.2
68,OG Anunoby,OG Anunoby,SF,74.0,2.5,0.7,0.7,0.2,5.9
69,Tyler Lydon,Tyler Lydon,PF,1.0,0.0,0.0,0.0,0.0,0.0
70,Caleb Swanigan,Caleb Swanigan,PF,27.0,2.0,0.5,0.2,0.1,2.3
71,Kyle Kuzma,Kyle Kuzma,PF,77.0,6.3,1.8,0.6,0.4,16.1
72,Tony Bradley,Tony Bradley,C,9.0,1.2,0.1,0.0,0.0,0.9
73,Derrick White,Derrick White,PG,17.0,1.5,0.5,0.2,0.2,3.2
74,Josh Hart,Josh Hart,SG,63.0,4.2,1.3,0.7,0.3,7.9
75,Frank Jackson,Frank Jackson,PG,61.0,2.2,1.1,0.4,0.0,8.1
76,Davon Reed,Davon Reed,SG,21.0,1.9,0.6,0.5,0.1,3.0
77,Wesley Iwundu,Wesley Iwundu,SF,62.0,2.2,0.9,0.5,0.2,3.7
78,Frank Mason,Frank Mason III,PG,52.0,2.5,2.8,0.7,0.2,7.9
79,Ivan Rabb,Ivan Rabb,PF,36.0,4.4,0.9,0.3,0.4,5.6
80,Semi Ojeleye,Semi Ojeleye,PF,73.0,2.2,0.3,0.3,0.1,2.7
81,Jordan Bell,Jordan Bell,C,57.0,3.6,1.8,0.6,1.0,4.6
82,Jawun Evans,Jawun Evans,PG,48.0,1.8,2.1,0.8,0.1,4.8
83,Dwayne Bacon,Dwayne Bacon,SG,53.0,2.3,0.7,0.3,0.0,3.3
84,Tyler Dorsey,Tyler Dorsey,SG,56.0,2.3,1.4,0.3,0.1,7.2
85,Thomas Bryant,Thomas Bryant,C,15.0,1.1,0.4,0.1,0.1,1.5
86,Damyean Dotson,Damyean Dotson,SG,44.0,1.9,0.7,0.3,0.0,4.1
87,Dillon Brooks,Dillon Brooks,SF,82.0,3.1,1.6,0.9,0.2,11.0
88,Sterling Brown,Sterling Brown,SG,54.0,2.6,0.5,0.6,0.2,4.0
89,Ike Anigbogu,Ike Anigbogu,C,11.0,0.8,0.0,0.1,0.3,1.2
